t,l,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
3223447625,31,08e400,15d100,21c100,2caf00,38a100,45a000,50a100,5ea000,69a100,758d00,816b00,8e4600,9a2400,a60000,9a0010,8e0020,810031,750041,64005a,4d0079,34009b,1c00bc,0300de,000fd2,0021c4,0031b2,0044a2,005492,006782,007870,008a61
3225955687,31,08e300,14d200,21c000,2cb000,38a000,44a100,51a000,5da100,69a000,748e00,816a00,8d4700,9a2300,a50000,9a000f,8d0020,810030,740042,640059,4c007a,35009a,1b00bd,0400dd,0010d3,0020c3,0032b3,0043a1,005593,006681,007971,008960
3228462812,31,08e400,15d100,21c100,2caf00,38a100,45a000,50a100,5ea000,69a100,758d00,816b00,8e4600,9a2400,a60000,9a0010,8e0020,810031,750041,64005a,4d0079,34009b,1c00bc,0300de,000fd2,0021c4,0031b2,0044a2,005492,006782,007870,008a61
3230966875,31,08e300,14d200,21c000,2cb000,38a000,44a100,51a000,5da100,69a000,748e00,816a00,8d4700,9a2300,a50000,9a000f,8d0020,810030,740042,640059,4c007a,35009a,1b00bd,0400dd,0010d3,0020c3,0032b3,0043a1,005593,006681,007971,008960
3233470000,31,08e300,14d200,21c000,2cb000,38a000,44a100,51a000,5da100,69a000,748e00,816a00,8d4700,9a2300,a50000,9a000f,8d0020,810030,740042,640059,4c007a,35009a,1b00bd,0400dd,0010d3,0020c3,0032b3,0043a1,005593,006681,007971,008960
3235977750,31,08e300,14d200,21c000,2cb000,38a000,44a100,51a000,5da100,69a000,748e00,816a00,8d4700,9a2300,a50000,9a000f,8d0020,810030,740042,640059,4c007a,35009a,1b00bd,0400dd,0010d3,0020c3,0032b3,0043a1,005593,006681,007971,008960
3238478000,31,08e400,15d100,21c100,2caf00,38a100,45a000,50a100,5ea000,69a100,758d00,816b00,8e4600,9a2400,a60000,9a0010,8e0020,810031,750041,64005a,4d0079,34009b,1c00bc,0300de,000fd2,0021c4,0031b2,0044a2,005492,006782,007870,008a61
3240979750,31,08e300,14d200,21c000,2cb000,38a000,44a100,51a000,5da100,69a000,748e00,816a00,8d4700,9a2300,a50000,9a000f,8d0020,810030,740042,640059,4c007a,35009a,1b00bd,0400dd,0010d3,0020c3,0032b3,0043a1,005593,006681,007971,008960
3243487500,31,08e400,15d100,21c100,2caf00,38a100,45a000,50a100,5ea000,69a100,758d00,816b00,8e4600,9a2400,a60000,9a0010,8e0020,810031,750041,64005a,4d0079,34009b,1c00bc,0300de,000fd2,0021c4,0031b2,0044a2,005492,006782,007870,008a61
3245996125,31,08e300,14d200,21c000,2cb000,38a000,44a100,51a000,5da100,69a000,748e00,816a00,8d4700,9a2300,a50000,9a000f,8d0020,810030,740042,640059,4c007a,35009a,1b00bd,0400dd,0010d3,0020c3,0032b3,0043a1,005593,006681,007971,008960
3248503937,31,08e400,15d100,21c100,2caf00,38a100,45a000,50a100,5ea000,69a100,758d00,816b00,8e4600,9a2400,a60000,9a0010,8e0020,810031,750041,64005a,4d0079,34009b,1c00bc,0300de,000fd2,0021c4,0031b2,0044a2,005492,006782,007870,008a61
3251011125,31,08e300,14d200,21c000,2cb000,38a000,44a100,51a000,5da100,69a000,748e00,816a00,8d4700,9a2300,a50000,9a000f,8d0020,810030,740042,640059,4c007a,35009a,1b00bd,0400dd,0010d3,0020c3,0032b3,0043a1,005593,006681,007971,008960
3253517312,31,08e300,14d200,21c000,2cb000,38a000,44a100,51a000,5da100,69a000,748e00,816a00,8d4700,9a2300,a50000,9a000f,8d0020,810030,740042,640059,4c007a,35009a,1b00bd,0400dd,0010d3,0020c3,0032b3,0043a1,005593,006681,007971,008960
3256024187,31,0be000,16d100,22be00,2ead00,3aa000,46a100,53a000,5ea100,6ba000,768900,846400,8f4200,9b1f00,a40001,980011,8b0023,7f0033,730044,62005d,49007f,3100a0,1800c1,0000e1,0011d2,0022c0,0035b0,00469f,005890,006880,007b70,008c5e
